unit,accident,victim,pers_inv,geo,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
NR,COLLIS,INJ,PAS,EL,0,0,1,0,0,0,0,0,0,0,2,2
NR,COLLIS,INJ,PAS,ES,4,0,0,0,3,1,0,0,0,0,1,0
NR,COLLIS,INJ,PAS,EU28,57,64,10,15,10,97,33,203,0,0,0,0
NR,COLLIS,INJ,PAS,FI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,FR,0,1,0,3,0,1,0,0,2,0,0,2
NR,COLLIS,INJ,PAS,HR,0,0,0,0,0,1,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,HU,0,0,2,0,0,0,0,0,0,3,3,2
NR,COLLIS,INJ,PAS,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,IT,2,13,0,0,0,0,0,0,18,0,0,15
NR,COLLIS,INJ,PAS,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,LU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,MK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,NL,0,0,0,0,0,28,0,0,0,0,0,4
NR,COLLIS,INJ,PAS,NO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,PL,11,1,2,0,0,59,0,9,0,3,0,0
NR,COLLIS,INJ,PAS,PT,0,0,0,0,0,2,0,0,0,0,0,0
NR,COLLIS,INJ,PAS,RO,0,0,0,0,0,0,0,0,3,0,0,0
NR,COLLIS,INJ,PAS,SE,0,0,0,0,0,0,1,8,0,0,0,0
NR,COLLIS,INJ,PAS,SI,0,0,0,1,0,0,5,0,0,4,0,0
NR,COLLIS,INJ,PAS,SK,0,1,0,0,0,5,0,11,0,0,0,0
NR,COLLIS,INJ,PAS,TR,0,0,0,0,0,12,5,25,0,28,0,10
NR,COLLIS,INJ,PAS,UK,0,1,0,0,1,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,AT,6,5,4,0,11,0,0,3,5,0,4,5
NR,COLLIS,INJ,TOTAL,BE,1,10,0,1,0,1,0,171,0,15,3,0
NR,COLLIS,INJ,TOTAL,BG,0,0,2,0,0,3,0,0,4,5,4,31
NR,COLLIS,INJ,TOTAL,CH,0,0,2,0,11,1,1,0,2,0,0,0
NR,COLLIS,INJ,TOTAL,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,CZ,4,8,3,8,0,0,4,1,1,30,1,4
NR,COLLIS,INJ,TOTAL,DE,40,28,2,8,2,6,26,4,9,28,8,10
NR,COLLIS,INJ,TOTAL,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,EL,0,0,2,0,1,1,0,2,0,0,2,5
NR,COLLIS,INJ,TOTAL,ES,5,0,0,2,3,3,0,1,1,0,2,0
NR,COLLIS,INJ,TOTAL,EU28,75,77,24,31,32,120,45,236,0,0,0,0
NR,COLLIS,INJ,TOTAL,FI,0,1,0,0,0,0,0,0,0,2,0,0
NR,COLLIS,INJ,TOTAL,FR,0,1,0,5,0,4,1,1,3,2,2,3
NR,COLLIS,INJ,TOTAL,HR,0,0,0,1,0,3,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,HU,0,2,3,0,0,0,0,1,0,3,4,2
NR,COLLIS,INJ,TOTAL,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,IT,2,15,0,1,0,0,0,1,18,0,1,15
NR,COLLIS,INJ,TOTAL,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,LU,1,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,TOTAL,MK,0,0,0,0,0,0,0,1,0,0,0,0
NR,COLLIS,INJ,TOTAL,NL,0,2,1,0,0,29,0,0,1,0,1,4
NR,COLLIS,INJ,TOTAL,NO,0,0,0,0,0,0,0,4,0,0,0,0
NR,COLLIS,INJ,TOTAL,PL,13,2,2,3,1,61,6,13,1,6,1,2
NR,COLLIS,INJ,TOTAL,PT,0,1,0,0,0,2,0,0,0,0,0,1
