Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
Moscow (1980),1980,Football,Football,Jindrich Svoboda,TCH,Men,football men,Gold,1,0,0
Moscow (1980),1980,Football,Football,Rostislav Vaclavicek,TCH,Men,football men,Gold,1,0,0
Moscow (1980),1980,Football,Football,Ladislav Vizek,TCH,Men,football men,Gold,1,0,0
Moscow (1980),1980,Football,Football,Jurgen Bahringer,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Frank Baum,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Lothar House,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Bernd Jakubowski,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Dieter Kuhn,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Matthias Liebers,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Matthias Muller,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Wolf-Rudiger Netz,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Werner Peter,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Bodo Rudwaleit,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Rudiger Schnuphase,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Wolfgang Steinbach,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Frank Terletzki,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Andreas Trautmann,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Norbert Trieloff,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Frank Uhlig,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Football,Football,Artur Ullrich,GDR,Men,football men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Natalia Shaposhnikova,URS,Women,balance beam women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nadia Comaneci,ROU,Women,balance beam women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Elena Davydova,URS,Women,balance beam women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,floor exercises men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Roland Brückner,GDR,Men,floor exercises men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nikolay Andrianov,URS,Men,floor exercises men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Maxi Gnauck,GDR,Women,floor exercises women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Natalia Shaposhnikova,URS,Women,floor exercises women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nadia Comaneci,ROU,Women,floor exercises women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nelli Kim,URS,Women,floor exercises women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nikolay Andrianov,URS,Men,horizontal bar men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Stoyan Deltchev,BUL,Men,horizontal bar men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,horizontal bar men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Stoyan Deltchev,BUL,Men,individual all-round men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,individual all-round men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nikolay Andrianov,URS,Men,individual all-round men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Elena Davydova,URS,Women,individual all-round women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nadia Comaneci,ROU,Women,individual all-round women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Maxi Gnauck,GDR,Women,individual all-round women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Roland Brückner,GDR,Men,parallel bars men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Tkachev,URS,Men,parallel bars men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,parallel bars men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Michael Nikolay,GDR,Men,pommel horse men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Zoltan Magyar,HUN,Men,pommel horse men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,pommel horse men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Jiri Tabak,TCH,Men,rings men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,rings men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Tkachev,URS,Men,rings men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Ferenc Donath,HUN,Men,team competition men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,György Guczoghy,HUN,Men,team competition men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Zoltan Kelemen,HUN,Men,team competition men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Peter Kovacs,HUN,Men,team competition men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Zoltan Magyar,HUN,Men,team competition men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Istvan Vamos,HUN,Men,team competition men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nikolay Andrianov,URS,Men,team competition men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Eduard Azarian,URS,Men,team competition men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,team competition men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Bogdan Makuts,URS,Men,team competition men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Vladimir Markelov,URS,Men,team competition men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Tkachev,URS,Men,team competition men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Andreas Bronst,GDR,Men,team competition men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Roland Brückner,GDR,Men,team competition men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Ralf-Peter Hemmann,GDR,Men,team competition men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Lutz Hoffmann,GDR,Men,team competition men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Lutz Mack,GDR,Men,team competition men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Michael Nikolay,GDR,Men,team competition men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Maxi Gnauck,GDR,Women,team competition women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Silvia Hindorff,GDR,Women,team competition women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Steffi Kräker,GDR,Women,team competition women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Katharina Rensch,GDR,Women,team competition women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Karola Sube,GDR,Women,team competition women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Birgit Süss,GDR,Women,team competition women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Elena Davydova,URS,Women,team competition women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Maria Filatova,URS,Women,team competition women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nelli Kim,URS,Women,team competition women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Elena Naimushina,URS,Women,team competition women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Natalia Shaposhnikova,URS,Women,team competition women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Stella Zakharova,URS,Women,team competition women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nadia Comaneci,ROU,Women,team competition women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Rodica Dunka,ROU,Women,team competition women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Emilia Eberle,ROU,Women,team competition women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Cristina Elena Grigoras,ROU,Women,team competition women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Melita Rühn,ROU,Women,team competition women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Dumitrita Turner,ROU,Women,team competition women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Maria Filatova,URS,Women,uneven bars women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Steffi Kräker,GDR,Women,uneven bars women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Melita Rühn,ROU,Women,uneven bars women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Maxi Gnauck,GDR,Women,uneven bars women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Emilia Eberle,ROU,Women,uneven bars women,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Roland Brückner,GDR,Men,vault men,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Nikolay Andrianov,URS,Men,vault men,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Aleksandr Dityatin,URS,Men,vault men,Silver,0,1,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Melita Rühn,ROU,Women,vault women,Bronze,0,0,1
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Natalia Shaposhnikova,URS,Women,vault women,Gold,1,0,0
Moscow (1980),1980,Gymnastics,Artistic Gymnastics,Steffi Kräker,GDR,Women,vault women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Stefan Birtalan,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Iosif Boros,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Adrian Cosma,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Cezar Draganita,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Marian Dumitru,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Cornel Durau,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Alexandru Folker,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Claudiu Eugen Ionescu,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Nicolae Munteanu,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Vasile Stinga,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Lucian Vasilache,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Neculai Vasilca,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Maricel Voinea,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Radu Voinea,ROU,Men,handball men,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Hans-Georg Beyer,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Lothar Doering,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Gunter Dreibrodt,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Ernst Gerlach,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Klaus Gruner,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Rainer Hoft,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Hans-Georg Jaunich,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Hartmut Kruger,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Peter Rost,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Dietmar Schmidt,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Wieland Schmidt,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Siegfried Voigt,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Frank-Michael Wahl,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Ingolf Wiegert,GDR,Men,handball men,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Aleksandr Anpilogov,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Vladimir Belov,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Evgeni Chernyshov,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Anatoli Fedyukin,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Mikhail Ishchenko,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Aleksandr Karshakevich,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Yuri Kidyaev,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Vladimir Kravtsov,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Sergei Kushniryuk,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Viktor Makhorin,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Valdemar Novitski,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Vladimir Repiev,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Nikolai Tomin,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Aleksei Zhuk,URS,Men,handball men,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Birgit Heinecke,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Roswitha Krause,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Waltraud Kretzschmar,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Katrin Krüger,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Kornelia Kunisch,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Evelyn Matz,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Kristina Richter-hochmut,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Christina Rost,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Sabine Röther,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Renate Rudolph,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Marion Tietz,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Petra Uhlig,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Claudia Wunderlich,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Hannelore Zober,GDR,Women,handball women,Bronze,0,0,1
Moscow (1980),1980,Handball,Handball,Liubov Berezhnaya-odinokova,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Liudmila Bobrus-paradnik,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Aldona Chesaitite-nenenene,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Larisa Karlova,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Natalia Lukianenko,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Valentina Lutaeva,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Tatiana Makarets-kochergina,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Irina Palchikova,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Yulia Safina,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Larisa Savkina,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Natalia Sherstyuk-timoshkina,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Sigita Strechen,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Zinaida Turchina,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Olga Zubareva,URS,Women,handball women,Gold,1,0,0
Moscow (1980),1980,Handball,Handball,Svetlana Anastasovski,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Mirjana Djurica,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Radmila Drljaca,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Katica Iles,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Slavica Jeremic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Svetlana Kitic-dasic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Jasna Merdan-kolar,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Vesna Milosevic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Mirjana Ognjenovic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Vesna Radovic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Rada Savic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Ana Titlic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Biserka Visnjic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Handball,Handball,Zorica Vojinovic,YUG,Women,handball women,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Sos Airapetyan,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Minneula Azizov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Valeri Beliakov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Viktor Deputatov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Aleksandr Goncharov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Aleksandr Gusev,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Sergei Klevtsov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Viacheslav Lampeev,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Aleksandr Miasnikov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Mikhail Nichepurenko,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Leonid Pavlovski,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Sergei Pleshakov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Vladimir Pleshakov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Aleksandr Sychev,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Oleg Zagorodnev,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Farit Zigangirov,URS,Men,hockey men,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Schofield Allan,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Singh Amarjit rana,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Baskaran Baskaran,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Chettri Chettri,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Singh Deavinder,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Mervyn Fernandes,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Singh Gurmail,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Maharaj Krishon Kaushik,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Charanjit Kumar,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Somaya Maneypanda,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Shahid Mohammad,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Singh Singh,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Singh Singh,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Singh Surinder,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Dung Dung Sylvanus,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Zafar Zafar,IND,Men,hockey men,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Juan Amat fontanals,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Juan Arbos perarnau,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Jaime Arbos serra,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Javier Cabot duran,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Ricardo Cabot duran,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Miguel Chaves,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Juan Luis Coghen,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Miguel De paz pla,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Francisco Fabregas bosch,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Jose Garcia messeguer,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Rafael Garralda,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Santiago Malgosa morera,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Paulino Monsalve,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Juan Pellon fernandez,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Carlos Roca portoles,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Jaime Zumalacarregui,ESP,Men,hockey men,Silver,0,1,0
Moscow (1980),1980,Hockey,Hockey,Liailia Akhmerova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Natalia Buzunova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Natalia Bykova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Tatiana Embakhtova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Nadezhda Filippova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Liudmila Frolova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Lidia Glubokova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Nelli Gorbatkova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Elena Guryeva,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Galina Inzhuvatova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Alina Kham,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Natella Krasnikova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Nadezhda Ovechkina,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Tatiana Shvyganova,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Galina Viuzhanina,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Valentina Zazdravnykh,URS,Women,hockey women,Bronze,0,0,1
Moscow (1980),1980,Hockey,Hockey,Arlene Nadine Boxhall,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Elizabeth Muriel Chase,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Sandra Chick,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Gillian Margaret Cowley,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Patricia Joan Davies,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Sarah English,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Maureen Jean George,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Ann Marry Gwynne Grant,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Susan Huggett,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Patricia Jean Mckillop,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Brenda Joan Phillips,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Christine Prinsloo,ZIM,Women,hockey women,Gold,1,0,0
Moscow (1980),1980,Hockey,Hockey,Sonia Robertson,ZIM,Women,hockey women,Gold,1,0,0
